"","queryid","subjectids","identity","alignmentlength","mismatches","gapopens","q.start","q.end","s.start","s.end","evalue","bitscore","positives","mlog.evalue","pdb.id","acc"
"1","Query_1979803","1AKE_A",100,214,0,0,1,214,1,214,1.79e-156,432,100,358.621058887218,"1AKE_A","1AKE_A"
"2","Query_1979803","8BQF_A",99.533,214,1,0,1,214,21,234,2.93e-156,433,100,358.128272084042,"8BQF_A","8BQF_A"
"3","Query_1979803","4X8M_A",99.533,214,1,0,1,214,1,214,3.21e-156,432,100,358.037003569929,"4X8M_A","4X8M_A"
"4","Query_1979803","6S36_A",99.533,214,1,0,1,214,1,214,4.71e-156,432,100,357.653586599043,"6S36_A","6S36_A"
"5","Query_1979803","9R6U_A",99.533,214,1,0,1,214,1,214,1.05e-155,431,99.53,356.851899249908,"9R6U_A","9R6U_A"
"6","Query_1979803","9R71_A",99.533,214,1,0,1,214,1,214,1.24e-155,431,99.53,356.68557803446,"9R71_A","9R71_A"
"7","Query_1979803","8Q2B_A",99.533,214,1,0,1,214,1,214,1.25e-155,431,99.53,356.677545862763,"8Q2B_A","8Q2B_A"
"8","Query_1979803","8RJ9_A",99.533,214,1,0,1,214,1,214,1.25e-155,431,99.53,356.677545862763,"8RJ9_A","8RJ9_A"
"9","Query_1979803","6RZE_A",99.533,214,1,0,1,214,1,214,1.35e-155,431,99.53,356.600584821627,"6RZE_A","6RZE_A"
"10","Query_1979803","4X8H_A",99.533,214,1,0,1,214,1,214,1.78e-155,430,99.53,356.324076049773,"4X8H_A","4X8H_A"
"11","Query_1979803","3HPR_A",99.533,214,1,0,1,214,1,214,2.52e-155,430,99.53,355.976430512554,"3HPR_A","3HPR_A"
"12","Query_1979803","1E4V_A",99.533,214,1,0,1,214,1,214,2.67e-155,430,99.53,355.918610941665,"1E4V_A","1E4V_A"
"13","Query_1979803","5EJE_A",99.065,214,2,0,1,214,1,214,7.99e-155,429,99.07,354.822498654299,"5EJE_A","5EJE_A"
"14","Query_1979803","1E4Y_A",99.065,214,2,0,1,214,1,214,4.62e-154,427,99.07,353.067709615989,"1E4Y_A","1E4Y_A"
"15","Query_1979803","3X2S_A",98.598,214,3,0,1,214,1,214,7.74e-154,426,98.6,352.551702633481,"3X2S_A","3X2S_A"
"16","Query_1979803","6HAP_A",98.131,214,4,0,1,214,1,214,2.29e-153,425,98.6,351.466967410523,"6HAP_A","6HAP_A"
"17","Query_1979803","6HAM_A",97.196,214,6,0,1,214,1,214,4.68e-153,424,98.6,350.752221118159,"6HAM_A","6HAM_A"
"18","Query_1979803","8PVW_A",84.579,214,6,2,1,214,1,187,8.54e-122,344,85.05,278.770620337473,"8PVW_A","8PVW_A"
"19","Query_1979803","4K46_A",73.239,213,57,0,1,213,1,213,2.08e-115,329,84.98,264.064917800602,"4K46_A","4K46_A"
"20","Query_1979803","4NP6_A",72.642,212,58,0,2,213,5,216,1.15e-113,325,84.43,260.052353565952,"4NP6_A","4NP6_A"
"21","Query_1979803","3GMT_A",62.5,216,75,1,2,211,10,225,9.02e-90,265,71.3,205.03321403539,"3GMT_A","3GMT_A"
"22","Query_1979803","4PZL_A",57.346,211,86,2,2,209,26,235,2.15e-86,256,74.41,197.256850155348,"4PZL_A","4PZL_A"
"23","Query_1979803","5G3Y_A",55.505,218,88,2,1,214,1,213,3.19e-76,230,68.81,173.836446150751,"5G3Y_A","5G3Y_A"
"24","Query_1979803","5G3Z_A",50.459,218,99,2,1,214,1,213,6.1e-73,221,69.27,166.280423017386,"5G3Z_A","5G3Z_A"
"25","Query_1979803","5G40_A",49.541,218,101,2,1,214,1,213,1.25e-70,216,68.35,160.957812958269,"5G40_A","5G40_A"
"26","Query_1979803","5X6J_A",50,218,98,3,1,213,1,212,2.28e-68,210,65.6,155.751610880629,"5X6J_A","5X6J_A"
"27","Query_1979803","2C9Y_A",53.723,188,83,1,1,184,17,204,1.15e-67,209,69.68,154.133439288226,"2C9Y_A","2C9Y_A"
"28","Query_1979803","1S3G_A",49.541,218,99,3,1,213,1,212,1.18e-67,208,65.14,154.107686792123,"1S3G_A","1S3G_A"
"29","Query_1979803","9GR0_A",53.723,188,83,1,1,184,16,203,1.25e-67,209,69.68,154.050057679287,"9GR0_A","9GR0_A"
"30","Query_1979803","9FL7_D",53.723,188,83,1,1,184,22,209,1.68e-67,209,69.68,153.754407437186,"9FL7_D","9FL7_D"
"31","Query_1979803","1AK2_A",52.66,188,85,1,1,184,17,204,2.97e-67,207,70.21,153.184639277786,"1AK2_A","1AK2_A"
"32","Query_1979803","3BE4_A",48.611,216,102,3,2,213,7,217,7.98e-67,206,68.06,152.196262819139,"3BE4_A","3BE4_A"
"33","Query_1979803","1AKY_A",46.119,219,108,3,1,214,5,218,1.13e-66,206,65.75,151.848398504883,"1AKY_A","1AKY_A"
